,url,likes,display_photo,account,date,caption,accessibility_caption
0,DB4Ll3zR5jQ,61,https://instagram.fyzd1-2.fna.fbcdn.net/v/t51.2885-15/465245310_18095720176472713_8605593603791544655_n.jpg?stp=dst-jpg_e15&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xMDgweDEwODAuc2RyLmY3NTc2MS5kZWZhdWx0X2ltYWdlIn0&_nc_ht=instagram.fyzd1-2.fna.fbcdn.net&_nc_cat=101&_nc_ohc=VnCReNPFOUkQ7kNvgFFBCS7&_nc_gid=3cca83dd1fb04695a9b6cb799514563a&edm=AEhyXUkBAAAA&ccb=7-5&ig_cache_key=MzQ5MjU5MjQ5MjA3NDIxMTUzNg%3D%3D.3-ccb7-5&oh=00_AYB69JxLZi6Gwzvt1sKI8g8Z5axuXAY6Rm3zCSnUb4TEdw&oe=672C93AE&_nc_sid=8f1549,uw_ux,2024-11-02 17:44:51,"Ready to put your design skills to the test?@uw_ux is hosting a friendly design SHOWDOWN, a thrilling event where you can have fun with design and make fellow designer friends 🎨👀 Open to all students of any program, and designers of all levels!When is this happening?📆 Friday, November 8th 2024⏰ 6:30 PM - 8:30 PM EST📍 Located @ UW SCH 228👉 Luma link in bio to register!Here, you’ll be able to…🤔 Find solutions to a given problem statement🔎 Work in small teams and make new design friends!💭 Design with constraints (and… against a sabotage?!)Can’t wait to see you there! 🥳#uwaterloo #uxdesign #uxuidesign",
1,DByy90egsc2,99,https://instagram.fyzd1-2.fna.fbcdn.net/v/t51.29350-15/465055905_1902544620155366_4109423218409667522_n.jpg?stp=dst-jpg_e15&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi43MjB4MTI4MC5zZHIuZjI5MzUwLmRlZmF1bHRfY292ZXJfZnJhbWUifQ&_nc_ht=instagram.fyzd1-2.fna.fbcdn.net&_nc_cat=102&_nc_ohc=I8SV2Nk-zOIQ7kNvgGkF8Fp&_nc_gid=bdae920459894ca0837bdea7fbf227f1&edm=AEhyXUkBAAAA&ccb=7-5&ig_cache_key=MzQ5MTA3NjgxMTcyNTY1MzgxNA%3D%3D.3-ccb7-5&oh=00_AYAZHev6KyjA04HC0LWaIkA0gJ057DgLJRs4MP2zAzhfjw&oe=672C9874&_nc_sid=8f1549,uwblueprint,2024-10-31 15:33:55,"Happy Halloween from the Blueprint Team 👻🎃 (or should I say, Happy HallowFE!N)",
2,DBzMzV5Sm2G,38,https://instagram.fyzd1-2.fna.fbcdn.net/v/t51.29350-15/465281282_1096427888534351_3340083778167546337_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xMDgweDEwODAuc2RyLmYyOTM1MC5kZWZhdWx0X2ltYWdlIn0&_nc_ht=instagram.fyzd1-2.fna.fbcdn.net&_nc_cat=111&_nc_ohc=d7-B_5aer7UQ7kNvgF1829R&_nc_gid=3d3c42ee19b54c2cb7b2cc01093b16ec&edm=AEhyXUkBAAAA&ccb=7-5&ig_cache_key=MzQ5MTE5MDQ0MDkwMzQ3MDQ3MA%3D%3D.3-ccb7-5&oh=00_AYAHkHU7rcX7zsAVQXf8la56wGaDgTPzxsgnfqRLubwkog&oe=672CA1FF&_nc_sid=8f1549,uwaterloodsc,2024-10-31 19:19:13,"🥱 Need to catch a break from studying?🎤  Come out to DSC’s Karaoke Night for a night of music and fun~! Bring your friends and be prepared to sing your stress away to unforgettable tunes 🎶 😋  Cotton candy and bubble tea will be provided! 🍭🧋🗓️ Monday, November 4th⌛  5:30-6:30 pm📍 MC 2054#uwdatascience #datascience #uwmath #waterloomath #waterlooengineering #uwaterloo #uwaterlooengineering #uwaterloomath #singing #karaoke #music #clubs #mathsoc #wusa",
3,DB4a6b2ygoZ,16,https://instagram.fyzd1-2.fna.fbcdn.net/v/t51.29350-15/465276546_1209303643518439_1321840000923637382_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xMDgweDEwODAuc2RyLmYyOTM1MC5kZWZhdWx0X2ltYWdlIn0&_nc_ht=instagram.fyzd1-2.fna.fbcdn.net&_nc_cat=107&_nc_ohc=l9d7TtL-pRIQ7kNvgEDfkp5&_nc_gid=f110c68ba9774aff88050ae219d631bd&edm=AEhyXUkBAAAA&ccb=7-5&ig_cache_key=MzQ5MjY1OTg3NTg3NDk5ODgwOQ%3D%3D.3-ccb7-5&oh=00_AYC76DEBuFpOMKENaIt8obCcTtKPGE33sWQSPb2WSIi4PQ&oe=672CADD4&_nc_sid=8f1549,uwaterloopm,2024-11-02 19:58:44,ProdCon applications are now closed! A huge thank you to everyone who applied for ProdCon 2024🎉🥳Please keep an eye out on your emails for acceptances soon!! 📩,
4,DBy2dLMx7sd,60,https://instagram.fyzd1-2.fna.fbcdn.net/v/t51.29350-15/465460125_1036600444875105_1945767019655392864_n.jpg?stp=dst-jpg_e15&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi43MjB4MTI4MC5zZHIuZjI5MzUwLmRlZmF1bHRfY292ZXJfZnJhbWUifQ&_nc_ht=instagram.fyzd1-2.fna.fbcdn.net&_nc_cat=109&_nc_ohc=vtn2TW6PvLsQ7kNvgHVRHcS&_nc_gid=f110c68ba9774aff88050ae219d631bd&edm=AEhyXUkBAAAA&ccb=7-5&ig_cache_key=MzQ5MTA5MjE2MDU2NzU1Njg5Mw%3D%3D.3-ccb7-5&oh=00_AYA0Y4Hno0joZAJcIs2gFReKNBaGiud-FMlpWBNy1jhmyg&oe=672C95C5&_nc_sid=8f1549,uwaterloopm,2024-10-31 16:09:34,"“What’s Your Type?” Here’s our answers:Applications for ProdCon extended until Friday, Nov. 1st 11:59 pm. Don’t miss out on the opportunity to impress your crush (or TD — our 1st place prize) and sign up now!!🔗Link in bio! P.S 🙈 ProdCon is now open to ALL undergrad students in Canada! #ProdCon #ProdCon2024 #UWPM #productmanagement #pm",
5,DBxCSLcSTuj,38,https://instagram.fyzd1-2.fna.fbcdn.net/v/t51.29350-15/465067799_900757131635555_3081146128202995296_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xMDgweDEwODAuc2RyLmYyOTM1MC5kZWZhdWx0X2ltYWdlIn0&_nc_ht=instagram.fyzd1-2.fna.fbcdn.net&_nc_cat=111&_nc_ohc=7FNHiMzrv4wQ7kNvgFMIwkV&_nc_gid=f110c68ba9774aff88050ae219d631bd&edm=AEhyXUkBAAAA&ccb=7-5&ig_cache_key=MzQ5MDU4MTIzMTUxODE3MDAxOQ%3D%3D.3-ccb7-5&oh=00_AYCOm0f_EFbPC4WEqAHuOg1tvzYuPWuQlRpGXDjDQW4t6Q&oe=672CAE4C&_nc_sid=8f1549,uwaterloopm,2024-10-30 23:08:50,Didn’t get a chance to apply to ProdCon?🚨We are now accepting applications until November 1st at 11:59PM!🚨Don’t miss your chance to join us for ProdCon 2024 - a full day product case competition on November 16th open to ALL undergraduate students in Canada. 🔗 Apply now through the link in our bio!,
6,DB20JpWOeAD,6,https://instagram.fyzd1-2.fna.fbcdn.net/v/t51.29350-15/465269348_1076768527436593_4500232224066607240_n.jpg?stp=dst-jpg_e35&_nc_ht=instagram.fyzd1-2.fna.fbcdn.net&_nc_cat=101&_nc_ohc=CWbSjmK6LggQ7kNvgEPNUeq&_nc_gid=7975341d8f44400db35fc32ce9d2c5c0&edm=AEhyXUkBAAAA&ccb=7-5&ig_cache_key=MzQ5MjIwNzkxNjY3NTAzMzMxOA%3D%3D.3-ccb7-5&oh=00_AYC3m4KWqwoIoA-iqKv9DTdAgMpHXIiBqB8CuuMRzNOmQQ&oe=672C9471&_nc_sid=8f1549,itshera.co,2024-11-02 05:00:47,Check out this week’s fascinating Friday post!,
7,DBzWqnhSRsl,33,https://instagram.fyzd1-2.fna.fbcdn.net/v/t51.29350-15/465183812_1260771398269835_2822506818234366707_n.jpg?stp=dst-jpg_e15&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi44Mjh4MTQ3Mi5zZHIuZjI5MzUwLmRlZmF1bHRfY292ZXJfZnJhbWUifQ&_nc_ht=instagram.fyzd1-2.fna.fbcdn.net&_nc_cat=111&_nc_ohc=qIDZLx2zZDEQ7kNvgFBuRjm&_nc_gid=03b47cf49a164ae3886de09f24d26575&edm=AEhyXUkBAAAA&ccb=7-5&ig_cache_key=MzQ5MTIzMzgyMTgxNzkwMzkwOQ%3D%3D.3-ccb7-5&oh=00_AYD2nupPPd63bqdCyhlSfDkXe-iSP61QxfS7_kVH_O4B1w&oe=672C9C0E&_nc_sid=8f1549,electriummobility,2024-10-31 20:45:38,,
8,DBz19B9MT9J,97,https://instagram.fyzd1-3.fna.fbcdn.net/v/t51.29350-15/465143176_3716802701904618_366069964207404006_n.jpg?stp=dst-jpg_e35&_nc_ht=instagram.fyzd1-3.fna.fbcdn.net&_nc_cat=106&_nc_ohc=ECLsSnYvotIQ7kNvgEXTqxZ&_nc_gid=af5daf0d61d64e0785f8eb173a9ef045&edm=AEhyXUkBAAAA&ccb=7-5&ig_cache_key=MzQ5MTM3MTQxOTU3NDUzMjczMQ%3D%3D.3-ccb7-5&oh=00_AYDzb3E2tWG1LzUrhLKOjFQADOOsEo-4RBxvE6r-7NJvNw&oe=672C898F&_nc_sid=8f1549,uw_aviation,2024-11-01 01:18:49,A very warm welcome to the new members of our team 🎉🎉,
9,DB4a6b2ygoZ,16,https://instagram.fyzd1-2.fna.fbcdn.net/v/t51.29350-15/465276546_1209303643518439_1321840000923637382_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xMDgweDEwODAuc2RyLmYyOTM1MC5kZWZhdWx0X2ltYWdlIn0&_nc_ht=instagram.fyzd1-2.fna.fbcdn.net&_nc_cat=107&_nc_ohc=l9d7TtL-pRIQ7kNvgEDfkp5&_nc_gid=e98e8415ebb44e16ba467287be5d8fe8&edm=AEhyXUkBAAAA&ccb=7-5&ig_cache_key=MzQ5MjY1OTg3NTg3NDk5ODgwOQ%3D%3D.3-ccb7-5&oh=00_AYCzgYzSpcqwADY_Ti8raYDjPezmU-Sk4ThgRLlZMihSsw&oe=672CADD4&_nc_sid=8f1549,uwaterloopm,2024-11-02 19:58:44,ProdCon applications are now closed! A huge thank you to everyone who applied for ProdCon 2024🎉🥳Please keep an eye out on your emails for acceptances soon!! 📩,
