,url,likes,display_photo,account,date,caption,accessibility_caption
0,C_OA6KDApHH,1174,https://scontent-sea1-1.cdninstagram.com/v/t51.29350-15/457305894_1475026826525971_244903549662691169_n.jpg?stp=dst-jpg_e15&_nc_ht=scontent-sea1-1.cdninstagram.com&_nc_cat=107&_nc_ohc=9K8JXTW5pxkQ7kNvgEIrgXO&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AYCoyp7O4a3U6CrHukBCrC6S81OfnUeoChKWRBAykyAt5Q&oe=66D9B4D9&_nc_sid=8b3546,uwaterlooeng,2024-08-28 15:42:48,💥 Incoming first-year students 💥 this is the family you will be joining soon!Can’t wait to see you all. #WaterlooEngineering,
1,C_V6AADvZOw,93,https://scontent-sea1-1.cdninstagram.com/v/t51.29350-15/456795996_481057178128094_8802315341045623849_n.jpg?stp=dst-jpg_e15_fr_s1080x1080&_nc_ht=scontent-sea1-1.cdninstagram.com&_nc_cat=102&_nc_ohc=CS_q_BFMfk0Q7kNvgEcrU0T&edm=AOQ1c0wBAAAA&ccb=7-5&ig_cache_key=MzQ0NjkxNjE2NjQ0ODg0NTE5MQ%3D%3D.2-ccb7-5&oh=00_AYChxd8ou2VPsqR436DvAyPUDByKYZhuL2yFKxkSU4obHg&oe=66D9E8FC&_nc_sid=8b3546,uwaterloodsc,2024-08-31 17:14:10,"📣 Come participate in ProjectX 2024, the world’s largest undergraduate machine learning research competition. Hosted by UofT's AI Group, teams from top universities across the world will compete in the competition taking place from September 2024 to December 2024.A team of 4 will be selected to represent UWaterloo. The winning team in each subtopic focus will be awarded a cash prize of CAD 20,000, and all participants will be invited to attend the annual UofT AI Conference in January 2025 where the ProjectX award ceremony will take place. This year, ProjectX is focused on Efficient AI. This focus area will encourage participants to investigate innovative methodologies and ML approaches to create AI models that significantly reduce power consumption without compromising performance.Previous sponsors of ProjectX include Google, Intel, Vector Institute, Nvidia, and more!👆 If you're interested in representing UW at ProjectX 2024, please fill out the form linked in our bio. The deadline to apply is September 10th, 2024.","Photo shared by Waterloo Data Science Club on August 31, 2024 tagging @uoftaigroup. May be a graphic of poster and text that says 'Compete with other UG teams across the world and pioneer research in Machine Learning! Winning team will receive $20kincash! in cash! Sign up $20k with the form.in-our form bio to be considered for the UWaterloo team MACHINE LEARNANG REPRESENT RESCARCH CO COMPETITION MDE TITION ProjectX compete! RESEARCH የኤኑለዳር COMPETITION UW ML DSC. In collaboration with UofT withUofTAlteam AI team'."
2,C_V88v9OXxF,44,https://scontent-sea1-1.cdninstagram.com/v/t51.29350-15/457627904_488719110539285_9128665311841683525_n.jpg?stp=dst-jpg_e15_fr_s1080x1080&_nc_ht=scontent-sea1-1.cdninstagram.com&_nc_cat=105&_nc_ohc=wh1lSF0i5REQ7kNvgEs9gOi&edm=AOQ1c0wBAAAA&ccb=7-5&ig_cache_key=MzQ0NjkyOTE0NzI3NDI5NjM4OQ%3D%3D.2-ccb7-5&oh=00_AYAXwfvY5Xcm6RM-JOClwouqcpnp6qe39zTzv_H7rcD9-g&oe=66D9BACF&_nc_sid=8b3546,gdscwaterloo,2024-08-31 17:39:56,"We’re hiring executives again for the Google Developer Student Club - University of Waterloo! Looking for passionate, creative thinkers, interested in building a diverse and inclusive tech community in the Waterloo region. UW GDSC welcomes all students for a variety of technical and leadership roles.Applications are due on September 6th!Apply via link in bio! DM us on Instagram or in our Discord server (see bio) for any questions 🙂#GDSCUWaterloo #Google #UWaterloo #uofwaterloo #uwaterloolife #uwaterloomath #uwaterlooengineering #getinvolved #TechEnthusiasts #InnovationHub #GoogleDevelopers #CodeLife #TechTrends #DeveloperCommunity #Community","Photo by UW Google Developer Student Club on August 31, 2024. May be an image of office and text."
3,C_Vf-BkAdsr,103,https://scontent-sea1-1.cdninstagram.com/v/t51.29350-15/457841284_878631190812203_1490169062279540423_n.jpg?stp=dst-jpg_e15&_nc_ht=scontent-sea1-1.cdninstagram.com&_nc_cat=111&_nc_ohc=Yi5FxyTI9Q8Q7kNvgGCRWgl&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AYAz1Z_uADVGxkyhYRLZayKuYQWUI0IZnfAraVpJiaKkHQ&oe=66D9B70E&_nc_sid=8b3546,yourwusa,2024-08-31 13:32:47,"🎉 GIVEAWAY ALERT 🎉 We’re giving away an INSANE Dillon Francis Concert VIP Experience! A select few lucky winners (and their plus one) will get an exclusive meet and greet with Dillon Francis himself! 😱✨How to enter: ⭐️ Have already purchased a ticket for the Dillon Francis Concert⭐️ Follow @yourWUSA ⭐️ Share this video with your friends! (Post it on your Story or send through DM) ⭐️ Tag your concert buddy in the comments! Giveaway ends on September 4th at 11:59 PM EST. Open to undergrad students at the University of Waterloo only. For full contest details, you can visit our website through the link in our bio.Important❗️Only @yourWUSA will reach out through DMs if you have been selected. Please do not share any personal information with any other account that isn't our official channel.Don’t sleep on this—level up your concert game! 🚀🎵 Good luck! 🤩",
4,C_TFdVgA6Sw,297,https://scontent-sea1-1.cdninstagram.com/v/t51.29350-15/457225412_1048354053583163_7009588158985842420_n.jpg?stp=dst-jpg_e15&_nc_ht=scontent-sea1-1.cdninstagram.com&_nc_cat=111&_nc_ohc=ChmF-v1_tV0Q7kNvgGLSP4q&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AYAwKOKqN9jXiCCS5ZsTahk7Tln8N_w5fuUSeL8Tphx2Gw&oe=66D9BB42&_nc_sid=8b3546,yourwusa,2024-08-30 15:19:58,"🎉 Get hyped for the BIGGEST party of the year! We're teaming up with @uwaterloolife to bring you the concert you've been manifesting ✨ Shoutout to our presenting sponsor, CIBC for making this a reality! 🙌 Come turn up with us on September 7th to see the one and only Dillon Francis! 🎧🔥 A chart-topping DJ, he’s been tearing it up at shows like Coachella, Lollapalooza, Ultra, EDC, and more! For our opening acts, we've got @twentyfiveroses.music and @tysloyens kicking things off! 🎶🌹 🎟️ Grab your tickets NOW from the link in our bio—trust me, you do NOT want to miss this! Oh, and did we mention? You can win a $5000 cash prize 🤑💸, thanks to Student Life Network! No purchase necessary. Check out the concert link in our bio for full details. Let’s gooo! 🚀",
5,C_RMLamRcYQ,199,https://scontent-sea1-1.cdninstagram.com/v/t51.29350-15/457237555_2718551628324962_4448280973912319831_n.jpg?stp=dst-jpg_e15&_nc_ht=scontent-sea1-1.cdninstagram.com&_nc_cat=102&_nc_ohc=wEDCGSI280QQ7kNvgG-pv8y&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AYATvAjQZBW0m6BZO7X8c1VFO4vysfMS377u-HIy6m4vNA&oe=66D9C381&_nc_sid=8b3546,yourwusa,2024-08-29 21:19:18,We hope you cleared your calendar and secured tickets for Dillon Francis 👀 If not perhaps it’s time 🫵Brought to you in partnership with @uwaterloolife. A big thank you to our sponsor CIBC and the Student Life Network for our $5000 prize,
6,C_RJR6QPCUb,84,https://scontent-sea1-1.cdninstagram.com/v/t51.29350-15/457511100_1199551484524091_8158932334376170627_n.jpg?stp=dst-jpg_e15_fr_s1080x1080&_nc_ht=scontent-sea1-1.cdninstagram.com&_nc_cat=111&_nc_ohc=rAMqD0j-qy0Q7kNvgHDNTYa&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AYBY50PRtWX6iHO5qxDnu5_KTxquXxlIPYepHPl6BekbZg&oe=66D9C764&_nc_sid=8b3546,yourwusa,2024-08-29 20:51:34,"Y'all ready to vibe? 😎 'Cause WE ARE! 🎉 We've got @twentyfiveroses.music and @tysloyens kicking things off at the concert as our opening acts! 🎤✨ Get your tickets now at the link in our bio 🎟 Doors swing open at 6:15, rain or shine. 🌦️ See you on September 7 at North Campus, Field 7! 🏟️ One lucky concert goer is walking away with $5000 cash 💸, thanks to Student Life Network! 🙌  Concert brought to you by WUSA and @uwaterloolife! And a big shoutout to our presenting sponsor, CIBC!",
7,C_MlOd8gFf4,457,https://scontent-sea1-1.cdninstagram.com/v/t51.29350-15/457152526_1059685002338251_8910597303689916653_n.jpg?stp=dst-jpg_e15&_nc_ht=scontent-sea1-1.cdninstagram.com&_nc_cat=107&_nc_ohc=ce-BDtSXwPcQ7kNvgHKd59V&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AYCFDqThQnsrjjQRepBxGgGBSQngNTCrGqkWidSDeBqdkg&oe=66D9CA8C&_nc_sid=8b3546,yourwusa,2024-08-28 02:20:05,Kick start the new term with some exciting events lined up for Welcome Week 🤩! ➡️Check out the 🔗 in our bio for details. The countdown is on Waterloo! 🥳#uofwaterloo #uwaterloolife #letsgo #WUSAwelcomeweek,
8,C_BA2e8AGK1,406,https://scontent-sea1-1.cdninstagram.com/v/t51.29350-15/456550789_300775449763688_2084229669961804809_n.jpg?stp=dst-jpg_e15_fr_p1080x1080&_nc_ht=scontent-sea1-1.cdninstagram.com&_nc_cat=108&_nc_ohc=tJCAp1KfoRMQ7kNvgEDLQzu&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AYAqC-ZiAuQ_i7ddVQOnFvRe4Xgcrwc9nb5rNb1bp7mRtg&oe=66D9BD71&_nc_sid=8b3546,yourwusa,2024-08-23 14:32:16,"We’re on our way to the concert, see you there 🫡 A little birdie also told us there’s a $5000 prize for a lucky winner in attendance, thanks to the Student Life Network! Concert brought to you in collab @uwaterloolife, and thank you to our presenting sponsor CIBC!",
9,C_MOF5uAYoB,52,https://scontent-sea1-1.cdninstagram.com/v/t51.29350-15/457229882_418978067336942_1982693407808852291_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-sea1-1.cdninstagram.com&_nc_cat=102&_nc_ohc=2itMxZ9T-VQQ7kNvgHEdA3r&edm=AOQ1c0wBAAAA&ccb=7-5&ig_cache_key=MzQ0NDE4OTc5MzI1NTI2MjcyMQ%3D%3D.2-ccb7-5&oh=00_AYBv0xyUEcEH8sD8TGjJJDVTSCyZMyJeS95qjs8h4wzNrg&oe=66D9E6D3&_nc_sid=8b3546,wataiteam,2024-08-27 22:57:20,"🎉 Our Core Member applications for F24-W25 are finally open!📄 Core Member Application Form link in bio!🦉 Core Members are members of our small project teams. Typically, each project runs for 8 months and is composed of 4-8 members who take part in developing a technical project that uses AI. Some projects are more research focused and others are about building a product. Every project is led by Technical Project Managers (TPMs), who have technical expertise to help you learn and have planned the goals/deadlines for the project.💻 We are considering Core Members on our 13 different projects for roles such as machine learning developer, full-stack development, research and experimentation, data engineering, and MLOps. You can find out more about our various projects in our bio link.📅 Applications close on September 17th! Some teams may be conducting rolling interviews, so apply early!","Photo by WAT.ai on August 27, 2024. May be a graphic of text."
